Mercadoria;Vencimento;Preço de ajuste anterior;Preço de ajuste Atual;Variação;Valor do ajuste por contrato (R$)
FRO - FRA de Cupom Cambial em OC1;K25;5.89;5.84;-0.05;0.02
FRO - FRA de Cupom Cambial em OC1;M25;5.50;5.45;-0.05;0.02
FRO - FRA de Cupom Cambial em OC1;N25;5.46;5.40;-0.06;0.03
FRO - FRA de Cupom Cambial em OC1;Q25;5.52;5.45;-0.07;0.03
FRO - FRA de Cupom Cambial em OC1;U25;5.33;5.25;-0.08;0.04
FRO - FRA de Cupom Cambial em OC1;V25;5.40;5.33;-0.07;0.03
FRO - FRA de Cupom Cambial em OC1;X25;5.36;5.29;-0.07;0.03
FRO - FRA de Cupom Cambial em OC1;Z25;5.36;5.28;-0.08;0.04
FRO - FRA de Cupom Cambial em OC1;H26;5.31;5.22;-0.09;0.04
FRO - FRA de Cupom Cambial em OC1;J26;5.30;5.20;-0.10;0.05
FRO - FRA de Cupom Cambial em OC1;N26;5.27;5.15;-0.12;0.06
FRO - FRA de Cupom Cambial em OC1;V26;5.25;5.14;-0.11;0.05
FRO - FRA de Cupom Cambial em OC1;J27;5.25;5.12;-0.13;0.06
FRO - FRA de Cupom Cambial em OC1;N27;5.26;5.12;-0.14;0.07
FRO - FRA de Cupom Cambial em OC1;V27;5.27;5.13;-0.14;0.07
FRO - FRA de Cupom Cambial em OC1;J28;5.31;5.15;-0.16;0.08
FRO - FRA de Cupom Cambial em OC1;N28;5.34;5.16;-0.18;0.09
FRO - FRA de Cupom Cambial em OC1;V28;5.36;5.20;-0.16;0.08
FRO - FRA de Cupom Cambial em OC1;J29;5.40;5.27;-0.13;0.06
FRO - FRA de Cupom Cambial em OC1;N29;5.46;5.33;-0.13;0.06
FRO - FRA de Cupom Cambial em OC1;V29;5.49;5.35;-0.14;0.07
FRO - FRA de Cupom Cambial em OC1;N30;5.59;5.44;-0.15;0.07
GBP - Libra Esterlina (em Reais);J25;7,511.76;7,577.46;65.69;2,299.32
GBP - Libra Esterlina (em Reais);K25;7,552.16;7,618.66;66.49;2,327.25
GBP - Libra Esterlina (em Reais);M25;7,604.89;7,671.76;66.87;2,340.48
GBP - Libra Esterlina (em Reais);N25;7,654.94;7,722.15;67.20;2,352.17
GBP - Libra Esterlina (em Reais);Q25;7,713.96;7,782.24;68.28;2,389.73
GBR - Libra Esterlina (em USD);J25;1,291.01;1,286.52;-4.49;263.27
GBR - Libra Esterlina (em USD);K25;1,290.88;1,286.42;-4.47;261.69
GBR - Libra Esterlina (em USD);M25;1,290.88;1,286.35;-4.53;265.20
GBR - Libra Esterlina (em USD);N25;1,290.80;1,286.20;-4.60;269.48
GBR - Libra Esterlina (em USD);Q25;1,290.70;1,285.99;-4.71;275.69
GGBRP - Contrato Futuro de GGBR4;H25;17.04;16.93;-0.11;0.11
GGBRP - Contrato Futuro de GGBR4;J25;17.20;17.09;-0.11;0.11
HSI - Contrato Futuro de Índice BVMF Hang Seng;H25;24,238.00;23,758.00;-480.00;312.00
HSI - Contrato Futuro de Índice BVMF Hang Seng;J25;24,299.00;23,817.00;-482.00;313.30
HYPEO - Contrato Futuro de HYPE3;H25;19.62;19.11;-0.51;0.51
HYPEO - Contrato Futuro de HYPE3;J25;19.78;19.27;-0.51;0.51
ICF - Café Arábica 4/5;H25;476.00;474.90;-1.10;644.41
ICF - Café Arábica 4/5;K25;475.35;476.60;1.25;732.28
ICF - Café Arábica 4/5;N25;470.55;471.15;0.60;351.49
ICF - Café Arábica 4/5;U25;456.70;457.05;0.35;205.04
ICF - Café Arábica 4/5;Z25;438.45;439.20;0.75;439.37
ICF - Café Arábica 4/5;H26;429.35;430.20;0.85;497.95
ICF - Café Arábica 4/5;U26;334.00;335.20;1.20;702.99
ICF - Café Arábica 4/5;Z26;330.45;331.40;0.95;556.53
IMV - Contrato Futuro de Indice Merval;H25;2,312,144.00;2,183,780.00;-128,364.00;7,059.37
IMV - Contrato Futuro de Indice Merval;J25;2,367,813.00;2,238,039.00;-129,774.00;7,136.92
IND - Ibovespa;J25;126,677.00;125,935.00;-742.00;742.00
IND - Ibovespa;M25;129,220.00;128,460.00;-760.00;760.00
IND - Ibovespa;Q25;131,677.00;130,913.00;-764.00;764.00
IND - Ibovespa;V25;134,606.00;133,841.00;-765.00;765.00
IND - Ibovespa;Z25;137,548.00;136,793.00;-755.00;755.00
IND - Ibovespa;J26;143,038.00;142,304.00;-734.00;734.00
IND - Ibovespa;M26;145,922.00;145,204.00;-718.00;718.00
IND - Ibovespa;Q26;148,662.00;147,964.00;-698.00;698.00
IND - Ibovespa;V26;151,641.00;150,968.00;-673.00;673.00
IND - Ibovespa;Z26;154,656.00;154,018.00;-638.00;638.00
INK - Contrato Futuro de Indice Nikkei;H25;37,270.00;36,475.00;-795.00;1,581.54
INK - Contrato Futuro de Indice Nikkei;M25;37,035.00;36,235.00;-800.00;1,591.49
ISP - S&P 500;H25;5,782.00;5,622.00;-160.00;46,866.40
ISP - S&P 500;M25;5,842.25;5,676.50;-165.75;48,550.66
ISP - S&P 500;U25;5,885.25;5,719.75;-165.50;48,477.43
ISP - S&P 500;Z25;5,931.50;5,762.00;-169.50;49,649.09
ISP - S&P 500;H26;5,972.00;5,802.50;-169.50;49,649.09
ITSAP - Contrato Futuro de ITSA4;H25;9.01;9.00;-0.01;0.01
ITSAP - Contrato Futuro de ITSA4;J25;9.09;9.09;0.00;0.00
ITUBP - Contrato Futuro de ITUB4;H25;32.76;33.04;0.28;0.28
ITUBP - Contrato Futuro de ITUB4;J25;33.09;33.37;0.28;0.28
JAP - Iene Japonês (em USD);J25;147,542.72;146,805.76;-736.95;293.21
JAP - Iene Japonês (em USD);K25;146,976.12;146,304.23;-671.89;267.32
JAP - Iene Japonês (em USD);M25;146,502.80;145,800.95;-701.84;279.24
JAP - Iene Japonês (em USD);N25;146,056.70;145,363.25;-693.45;275.90
JAP - Iene Japonês (em USD);Q25;145,543.35;144,875.41;-667.94;265.75
JBSSO - Contrato Futuro de JBSS3;H25;31.66;32.49;0.83;0.83
JBSSO - Contrato Futuro de JBSS3;J25;31.97;32.81;0.84;0.84
JPY - Iene Japonês (em Reais);J25;3,943.61;4,012.03;68.42;3,421.25
JPY - Iene Japonês (em Reais);K25;3,980.50;4,048.00;67.50;3,374.75
JPY - Iene Japonês (em Reais);M25;4,021.25;4,090.48;69.23;3,461.55
JPY - Iene Japonês (em Reais);N25;4,060.33;4,130.23;69.91;3,495.25
JPY - Iene Japonês (em Reais);Q25;4,106.40;4,177.07;70.68;3,533.80
JSE - Contrato Futuro de Índice BVMF FTSE/JSE TOP 40;H25;81,211.00;80,136.00;-1,075.00;430.00
JSE - Contrato Futuro de Índice BVMF FTSE/JSE TOP 40;M25;81,642.00;80,585.00;-1,057.00;422.80
